#------------------------------------------------------------------------------------------------------------------------------------------------------
#TYPE;    VARNAME;         REALM;     FREQUENCY;     TABLE;                     TEMPORAL_SHP;         SPATIAL_SHP;       EXPNAME;            MIP
#------------------------------------------------------------------------------------------------------------------------------------------------------
extra;   reffclwmodis;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   reffclimodis;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   pctmodis;      atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   lwpmodis;      atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   iwpmodis;      atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmodis;       atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cllcalipsoice; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmcalipsoice; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clhcalipsoice; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cltcalipsoice; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cllcalipsoliq; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmcalipsoliq; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
